Course_Name,Company_Name,Skills,Ratings,Reviews,Difficulty,Type_Of_Certificate,Duration,combined_text,processed_text,difficulty_encoded,certificate_encoded
google cybersecurity,google,"network security, python programming, linux, cloud computing, algorithms, audit, computer programming, computer security incident management, cryptography, databases, leadership and management, network architecture, risk management, sql",4.8,(19K reviews),beginner,Professional Certificate,3 - 6 Months,"google cybersecurity network security, python programming, linux, cloud computing, algorithms, audit, computer programming, computer security incident management, cryptography, databases, leadership and management, network architecture, risk management, sql network security, python programming, linux, cloud computing, algorithms, audit, computer programming, computer security incident management, cryptography, databases, leadership and management, network architecture, risk management, sql network security, python programming, linux, cloud computing, algorithms, audit, computer programming, computer security incident management, cryptography, databases, leadership and management, network architecture, risk management, sql beginner Professional Certificate google 3 - 6 Months",google cybersecurity network security python programming linux cloud computing algorithm audit computer programming computer security incident management cryptography database leadership management network architecture risk management sql network security python programming linux cloud computing algorithm audit computer programming computer security incident management cryptography database leadership management network architecture risk management sql network security python programming linux cloud computing algorithm audit computer programming computer security incident management cryptography database leadership management network architecture risk management sql beginner professional certificate google month,1,2
google data analytics,google,"data analysis, r programming, sql, business communication, spreadsheet software, business analysis, data visualization, data management, general statistics, big data, communication, computer programming, data science, data visualization software, databases, exploratory data analysis, extract, transform, load, leadership and management, microsoft excel, problem solving, small data, statistical programming, tableau software",4.8,(136K reviews),beginner,Professional Certificate,3 - 6 Months,"google data analytics data analysis, r programming, sql, business communication, spreadsheet software, business analysis, data visualization, data management, general statistics, big data, communication, computer programming, data science, data visualization software, databases, exploratory data analysis, extract, transform, load, leadership and management, microsoft excel, problem solving, small data, statistical programming, tableau software data analysis, r programming, sql, business communication, spreadsheet software, business analysis, data visualization, data management, general statistics, big data, communication, computer programming, data science, data visualization software, databases, exploratory data analysis, extract, transform, load, leadership and management, microsoft excel, problem solving, small data, statistical programming, tableau software data analysis, r programming, sql, business communication, spreadsheet software, business analysis, data visualization, data management, general statistics, big data, communication, computer programming, data science, data visualization software, databases, exploratory data analysis, extract, transform, load, leadership and management, microsoft excel, problem solving, small data, statistical programming, tableau software beginner Professional Certificate google 3 - 6 Months",google data analytics data analysis programming sql business communication spreadsheet software business analysis data visualization data management general statistic big data communication computer programming data science data visualization software database exploratory data analysis extract transform load leadership management microsoft excel problem solving small data statistical programming tableau software data analysis programming sql business communication spreadsheet software business analysis data visualization data management general statistic big data communication computer programming data science data visualization software database exploratory data analysis extract transform load leadership management microsoft excel problem solving small data statistical programming tableau software data analysis programming sql business communication spreadsheet software business analysis data visualization data management general statistic big data communication computer programming data science data visualization software database exploratory data analysis extract transform load leadership management microsoft excel problem solving small data statistical programming tableau software beginner professional certificate google month,1,2
google project management:,google,"project management, strategy and operations, leadership and management, communication, business communication, collaboration, agile software development, software engineering, entrepreneurship, scrum (software development), planning, supply chain and logistics, change management, finance, organizational development, product management, risk management, budget management, influencing, culture, emotional intelligence, people management, problem solving, procurement",4.8,(100K reviews),beginner,Professional Certificate,3 - 6 Months,"google project management: project management, strategy and operations, leadership and management, communication, business communication, collaboration, agile software development, software engineering, entrepreneurship, scrum (software development), planning, supply chain and logistics, change management, finance, organizational development, product management, risk management, budget management, influencing, culture, emotional intelligence, people management, problem solving, procurement project management, strategy and operations, leadership and management, communication, business communication, collaboration, agile software development, software engineering, entrepreneurship, scrum (software development), planning, supply chain and logistics, change management, finance, organizational development, product management, risk management, budget management, influencing, culture, emotional intelligence, people management, problem solving, procurement project management, strategy and operations, leadership and management, communication, business communication, collaboration, agile software development, software engineering, entrepreneurship, scrum (software development), planning, supply chain and logistics, change management, finance, organizational development, product management, risk management, budget management, influencing, culture, emotional intelligence, people management, problem solving, procurement beginner Professional Certificate google 3 - 6 Months",google project management project management strategy operation leadership management communication business communication collaboration agile software development software engineering entrepreneurship scrum software development planning supply chain logistics change management finance organizational development product management risk management budget management influencing culture emotional intelligence people management problem solving procurement project management strategy operation leadership management communication business communication collaboration agile software development software engineering entrepreneurship scrum software development planning supply chain logistics change management finance organizational development product management risk management budget management influencing culture emotional intelligence people management problem solving procurement project management strategy operation leadership management communication business communication collaboration agile software development software engineering entrepreneurship scrum software development planning supply chain logistics change management finance organizational development product management risk management budget management influencing culture emotional intelligence people management problem solving procurement beginner professional certificate google month,1,2
ibm data science,ibm,"python programming, data science, machine learning, data analysis, algorithms, data analysis software, data management, data visualization, human learning, r programming, computational thinking, computer programming, data mining, database application, database theory, databases, deep learning, exploratory data analysis, machine learning algorithms, sql, data model, statistical machine learning, general statistics, probability & statistics, regression, reinforcement learning, statistical programming, big data, cloud computing, ibm cloud, writing",4.6,(120K reviews),beginner,Professional Certificate,3 - 6 Months,"ibm data science python programming, data science, machine learning, data analysis, algorithms, data analysis software, data management, data visualization, human learning, r programming, computational thinking, computer programming, data mining, database application, database theory, databases, deep learning, exploratory data analysis, machine learning algorithms, sql, data model, statistical machine learning, general statistics, probability & statistics, regression, reinforcement learning, statistical programming, big data, cloud computing, ibm cloud, writing python programming, data science, machine learning, data analysis, algorithms, data analysis software, data management, data visualization, human learning, r programming, computational thinking, computer programming, data mining, database application, database theory, databases, deep learning, exploratory data analysis, machine learning algorithms, sql, data model, statistical machine learning, general statistics, probability & statistics, regression, reinforcement learning, statistical programming, big data, cloud computing, ibm cloud, writing python programming, data science, machine learning, data analysis, algorithms, data analysis software, data management, data visualization, human learning, r programming, computational thinking, computer programming, data mining, database application, database theory, databases, deep learning, exploratory data analysis, machine learning algorithms, sql, data model, statistical machine learning, general statistics, probability & statistics, regression, reinforcement learning, statistical programming, big data, cloud computing, ibm cloud, writing beginner Professional Certificate ibm 3 - 6 Months",ibm data science python programming data science machine learning data analysis algorithm data analysis software data management data visualization human learning programming computational thinking computer programming data mining database application database theory database deep learning exploratory data analysis machine learning algorithm sql data model statistical machine learning general statistic probability statistic regression reinforcement learning statistical programming big data cloud computing ibm cloud writing python programming data science machine learning data analysis algorithm data analysis software data management data visualization human learning programming computational thinking computer programming data mining database application database theory database deep learning exploratory data analysis machine learning algorithm sql data model statistical machine learning general statistic probability statistic regression reinforcement learning statistical programming big data cloud computing ibm cloud writing python programming data science machine learning data analysis algorithm data analysis software data management data visualization human learning programming computational thinking computer programming data mining database application database theory database deep learning exploratory data analysis machine learning algorithm sql data model statistical machine learning general statistic probability statistic regression reinforcement learning statistical programming big data cloud computing ibm cloud writing beginner professional certificate ibm month,1,2
google digital marketing & e-commerce,google,"digital marketing, marketing, marketing management, media strategy & planning, sales, e-commerce, data analysis, social media, search engine optimization, advertising, communication, persona research, strategy, web design, web development, web development tools, writing, data management, market analysis",4.8,(23K reviews),beginner,Professional Certificate,3 - 6 Months,"google digital marketing & e-commerce digital marketing, marketing, marketing management, media strategy & planning, sales, e-commerce, data analysis, social media, search engine optimization, advertising, communication, persona research, strategy, web design, web development, web development tools, writing, data management, market analysis digital marketing, marketing, marketing management, media strategy & planning, sales, e-commerce, data analysis, social media, search engine optimization, advertising, communication, persona research, strategy, web design, web development, web development tools, writing, data management, market analysis digital marketing, marketing, marketing management, media strategy & planning, sales, e-commerce, data analysis, social media, search engine optimization, advertising, communication, persona research, strategy, web design, web development, web development tools, writing, data management, market analysis beginner Professional Certificate google 3 - 6 Months",google digital marketing commerce digital marketing marketing marketing management medium strategy planning sale commerce data analysis social medium search engine optimization advertising communication persona research strategy web design web development web development tool writing data management market analysis digital marketing marketing marketing management medium strategy planning sale commerce data analysis social medium search engine optimization advertising communication persona research strategy web design web development web development tool writing data management market analysis digital marketing marketing marketing management medium strategy planning sale commerce data analysis social medium search engine optimization advertising communication persona research strategy web design web development web development tool writing data management market analysis beginner professional certificate google month,1,2
ibm data analyst,ibm,"python programming, microsoft excel, data visualization, spreadsheet software, data analysis, databases, sql, plot (graphics), data management, exploratory data analysis, machine learning, business analysis, computational thinking, computer programming, data analysis software, database application, database theory, statistical visualization, data mining, data science, general statistics, nosql, r programming, cloud computing, data visualization software, ibm cloud, interactive data visualization, machine learning algorithms, probability & statistics, regression, statistical programming",4.6,(73K reviews),beginner,Professional Certificate,3 - 6 Months,"ibm data analyst python programming, microsoft excel, data visualization, spreadsheet software, data analysis, databases, sql, plot (graphics), data management, exploratory data analysis, machine learning, business analysis, computational thinking, computer programming, data analysis software, database application, database theory, statistical visualization, data mining, data science, general statistics, nosql, r programming, cloud computing, data visualization software, ibm cloud, interactive data visualization, machine learning algorithms, probability & statistics, regression, statistical programming python programming, microsoft excel, data visualization, spreadsheet software, data analysis, databases, sql, plot (graphics), data management, exploratory data analysis, machine learning, business analysis, computational thinking, computer programming, data analysis software, database application, database theory, statistical visualization, data mining, data science, general statistics, nosql, r programming, cloud computing, data visualization software, ibm cloud, interactive data visualization, machine learning algorithms, probability & statistics, regression, statistical programming python programming, microsoft excel, data visualization, spreadsheet software, data analysis, databases, sql, plot (graphics), data management, exploratory data analysis, machine learning, business analysis, computational thinking, computer programming, data analysis software, database application, database theory, statistical visualization, data mining, data science, general statistics, nosql, r programming, cloud computing, data visualization software, ibm cloud, interactive data visualization, machine learning algorithms, probability & statistics, regression, statistical programming beginner Professional Certificate ibm 3 - 6 Months",ibm data analyst python programming microsoft excel data visualization spreadsheet software data analysis database sql plot graphic data management exploratory data analysis machine learning business analysis computational thinking computer programming data analysis software database application database theory statistical visualization data mining data science general statistic nosql programming cloud computing data visualization software ibm cloud interactive data visualization machine learning algorithm probability statistic regression statistical programming python programming microsoft excel data visualization spreadsheet software data analysis database sql plot graphic data management exploratory data analysis machine learning business analysis computational thinking computer programming data analysis software database application database theory statistical visualization data mining data science general statistic nosql programming cloud computing data visualization software ibm cloud interactive data visualization machine learning algorithm probability statistic regression statistical programming python programming microsoft excel data visualization spreadsheet software data analysis database sql plot graphic data management exploratory data analysis machine learning business analysis computational thinking computer programming data analysis software database application database theory statistical visualization data mining data science general statistic nosql programming cloud computing data visualization software ibm cloud interactive data visualization machine learning algorithm probability statistic regression statistical programming beginner professional certificate ibm month,1,2
google it support,google,"computer networking, network architecture, network model, networking hardware, network analysis, computer architecture, critical thinking, problem solving, communication, human computer interaction, network security, linux, system security, cloud computing, computer programming, customer support, cryptography, leadership and management, operating systems",4.8,(183K reviews),beginner,Professional Certificate,3 - 6 Months,"google it support computer networking, network architecture, network model, networking hardware, network analysis, computer architecture, critical thinking, problem solving, communication, human computer interaction, network security, linux, system security, cloud computing, computer programming, customer support, cryptography, leadership and management, operating systems computer networking, network architecture, network model, networking hardware, network analysis, computer architecture, critical thinking, problem solving, communication, human computer interaction, network security, linux, system security, cloud computing, computer programming, customer support, cryptography, leadership and management, operating systems computer networking, network architecture, network model, networking hardware, network analysis, computer architecture, critical thinking, problem solving, communication, human computer interaction, network security, linux, system security, cloud computing, computer programming, customer support, cryptography, leadership and management, operating systems beginner Professional Certificate google 3 - 6 Months",google support computer networking network architecture network model networking hardware network analysis computer architecture critical thinking problem solving communication human computer interaction network security linux system security cloud computing computer programming customer support cryptography leadership management operating system computer networking network architecture network model networking hardware network analysis computer architecture critical thinking problem solving communication human computer interaction network security linux system security cloud computing computer programming customer support cryptography leadership management operating system computer networking network architecture network model networking hardware network analysis computer architecture critical thinking problem solving communication human computer interaction network security linux system security cloud computing computer programming customer support cryptography leadership management operating system beginner professional certificate google month,1,2
machine learning,multiple educators,"machine learning, machine learning algorithms, applied machine learning, algorithms, deep learning, machine learning software, artificial neural networks, human learning, python programming, regression, statistical machine learning, mathematics, tensorflow, critical thinking, network model, reinforcement learning",4.9,(19K reviews),beginner,Specialization,1 - 3 Months,"machine learning machine learning, machine learning algorithms, applied machine learning, algorithms, deep learning, machine learning software, artificial neural networks, human learning, python programming, regression, statistical machine learning, mathematics, tensorflow, critical thinking, network model, reinforcement learning machine learning, machine learning algorithms, applied machine learning, algorithms, deep learning, machine learning software, artificial neural networks, human learning, python programming, regression, statistical machine learning, mathematics, tensorflow, critical thinking, network model, reinforcement learning machine learning, machine learning algorithms, applied machine learning, algorithms, deep learning, machine learning software, artificial neural networks, human learning, python programming, regression, statistical machine learning, mathematics, tensorflow, critical thinking, network model, reinforcement learning beginner Specialization multiple educators 1 - 3 Months",machine learning machine learning machine learning algorithm applied machine learning algorithm deep learning machine learning software artificial neural network human learning python programming regression statistical machine learning mathematics tensorflow critical thinking network model reinforcement learning machine learning machine learning algorithm applied machine learning algorithm deep learning machine learning software artificial neural network human learning python programming regression statistical machine learning mathematics tensorflow critical thinking network model reinforcement learning machine learning machine learning algorithm applied machine learning algorithm deep learning machine learning software artificial neural network human learning python programming regression statistical machine learning mathematics tensorflow critical thinking network model reinforcement learning beginner specialization multiple educator month,1,3
google ux design,google,"user experience, user experience design, user research, audit, collaboration, human computer interaction, planning, product design, product development, social media, web design, web development tools",4.8,(75K reviews),beginner,Professional Certificate,3 - 6 Months,"google ux design user experience, user experience design, user research, audit, collaboration, human computer interaction, planning, product design, product development, social media, web design, web development tools user experience, user experience design, user research, audit, collaboration, human computer interaction, planning, product design, product development, social media, web design, web development tools user experience, user experience design, user research, audit, collaboration, human computer interaction, planning, product design, product development, social media, web design, web development tools beginner Professional Certificate google 3 - 6 Months",google design user experience user experience design user research audit collaboration human computer interaction planning product design product development social medium web design web development tool user experience user experience design user research audit collaboration human computer interaction planning product design product development social medium web design web development tool user experience user experience design user research audit collaboration human computer interaction planning product design product development social medium web design web development tool beginner professional certificate google month,1,2
ibm devops and software engineering,ibm,"devops, software engineering, cloud computing, computer programming, application development, python programming, software architecture, cloud applications, continuous delivery, continuous integration, software engineering tools, agile software development, programming principles, security engineering, software testing, cloud infrastructure, kubernetes, cloud-based integration, microarchitecture, full-stack web development, cloud platforms, communication, ibm cloud, scrum (software development), software security, web development tools, cloud storage, docker (software), linux, user experience design, collaboration, leadership and management, data analysis, mergers & acquisitions",4.6,(44K reviews),beginner,Professional Certificate,3 - 6 Months,"ibm devops and software engineering devops, software engineering, cloud computing, computer programming, application development, python programming, software architecture, cloud applications, continuous delivery, continuous integration, software engineering tools, agile software development, programming principles, security engineering, software testing, cloud infrastructure, kubernetes, cloud-based integration, microarchitecture, full-stack web development, cloud platforms, communication, ibm cloud, scrum (software development), software security, web development tools, cloud storage, docker (software), linux, user experience design, collaboration, leadership and management, data analysis, mergers & acquisitions devops, software engineering, cloud computing, computer programming, application development, python programming, software architecture, cloud applications, continuous delivery, continuous integration, software engineering tools, agile software development, programming principles, security engineering, software testing, cloud infrastructure, kubernetes, cloud-based integration, microarchitecture, full-stack web development, cloud platforms, communication, ibm cloud, scrum (software development), software security, web development tools, cloud storage, docker (software), linux, user experience design, collaboration, leadership and management, data analysis, mergers & acquisitions devops, software engineering, cloud computing, computer programming, application development, python programming, software architecture, cloud applications, continuous delivery, continuous integration, software engineering tools, agile software development, programming principles, security engineering, software testing, cloud infrastructure, kubernetes, cloud-based integration, microarchitecture, full-stack web development, cloud platforms, communication, ibm cloud, scrum (software development), software security, web development tools, cloud storage, docker (software), linux, user experience design, collaboration, leadership and management, data analysis, mergers & acquisitions beginner Professional Certificate ibm 3 - 6 Months",ibm devops software engineering devops software engineering cloud computing computer programming application development python programming software architecture cloud application continuous delivery continuous integration software engineering tool agile software development programming principle security engineering software testing cloud infrastructure kubernetes cloud based integration microarchitecture full stack web development cloud platform communication ibm cloud scrum software development software security web development tool cloud storage docker software linux user experience design collaboration leadership management data analysis merger acquisition devops software engineering cloud computing computer programming application development python programming software architecture cloud application continuous delivery continuous integration software engineering tool agile software development programming principle security engineering software testing cloud infrastructure kubernetes cloud based integration microarchitecture full stack web development cloud platform communication ibm cloud scrum software development software security web development tool cloud storage docker software linux user experience design collaboration leadership management data analysis merger acquisition devops software engineering cloud computing computer programming application development python programming software architecture cloud application continuous delivery continuous integration software engineering tool agile software development programming principle security engineering software testing cloud infrastructure kubernetes cloud based integration microarchitecture full stack web development cloud platform communication ibm cloud scrum software development software security web development tool cloud storage docker software linux user experience design collaboration leadership management data analysis merger acquisition beginner professional certificate ibm month,1,2
